,Seed,east,midwest,south,west,seedings
0,1,Arizona,Michigan,Vanderbilt,Iowa St.,0
15,16,Howard,Austin Peay,LIU,Grambling St.,1
7,8,Miami FL,Georgia,UCF,Saint Mary's,2
8,9,Iowa,Texas A&M,Indiana,St. John's,3
4,5,Arkansas,Virginia,Louisville,Texas Tech,4
11,12,Tulsa,McNeese St.,Yale,Belmont,5
3,4,Alabama,Illinois,Kansas,North Carolina,6
12,13,High Point,Liberty,Utah Valley,Hofstra,7
5,6,SMU,Clemson,Villanova,Tennessee,8
10,11,Baylor,Missouri,Stanford,Ohio St.,9
2,3,BYU,Gonzaga,Houston,Michigan St.,10
13,14,Northern Colorado,UC Irvine,St. Thomas,Quinnipiac,11
6,7,Florida,Saint Louis,Utah St.,Seton Hall,12
9,10,TCU,Creighton,USC,Oklahoma St.,13
1,2,Purdue,Nebraska,Connecticut,Duke,14
14,15,Furman,Oakland,Arkansas St.,Tennessee Martin,15
