Line,Games,Wins,Losses,Fav Win,Dog Win,Fav ML,Dog ML
-1,1993,1035,958,51.93%,48.07%,-108,108
-1.5,2039,1088,951,53.36%,46.64%,-114,114
-2,2196,1220,976,55.56%,44.44%,-125,125
-2.5,2278,1311,967,57.55%,42.45%,-136,136
-3,2151,1322,829,61.46%,38.54%,-159,159
-3.5,2200,1374,826,62.45%,37.55%,-166,166
-4,2071,1323,748,63.88%,36.12%,-177,177
-4.5,2096,1389,707,66.27%,33.73%,-196,196
-5,1836,1240,596,67.54%,32.46%,-208,208
-5.5,1990,1382,608,69.45%,30.55%,-227,227
-6,1727,1235,492,71.51%,28.49%,-251,251
-6.5,1773,1286,487,72.53%,27.47%,-264,264
-7,1620,1216,404,75.06%,24.94%,-301,301
-7.5,1690,1312,378,77.63%,22.37%,-347,347
-8,1457,1121,336,76.94%,23.06%,-334,334
-8.5,1428,1177,251,82.42%,17.58%,-469,469
-9,1285,1038,247,80.78%,19.22%,-420,420
-9.5,1205,1018,187,84.48%,15.52%,-544,544
-10,1128,938,190,83.16%,16.84%,-494,494
-10.5,1053,896,157,85.09%,14.91%,-571,571
-11,918,796,122,86.71%,13.29%,-652,652
-11.5,925,807,118,87.24%,12.76%,-684,684
-12,836,735,101,87.92%,12.08%,-728,728
-12.5,800,715,85,89.38%,10.63%,-841,841
-13,789,700,89,88.72%,11.28%,-787,787
-13.5,712,651,61,91.43%,8.57%,-1067,1067
-14,665,612,53,92.03%,7.97%,-1155,1155
-14.5,631,599,32,94.93%,5.07%,-1872,1872
-15,531,502,29,94.54%,5.46%,-1731,1731
-15.5,464,448,16,96.55%,3.45%,-2800,2800
-16,438,423,15,96.58%,3.42%,-2820,2820
-16.5,420,395,25,94.05%,5.95%,-1580,1580
-17,365,346,19,94.79%,5.21%,-1821,1821
-17.5,354,341,13,96.33%,3.67%,-2623,2623
-18,279,270,9,96.77%,3.23%,-3000,3000
-18.5,300,294,6,98.00%,2.00%,-4900,4900
-19,239,235,4,98.33%,1.67%,-5875,5875
-19.5,238,235,3,98.74%,1.26%,-7833,7833
-20,189,185,4,97.88%,2.12%,-4625,4625
-20.5,201,196,5,97.51%,2.49%,-3920,3920
-21,183,178,5,97.27%,2.73%,-3560,3560
-21.5,170,165,5,97.06%,2.94%,-3300,3300
-22,140,137,3,97.86%,2.14%,-4567,4567
-22.5,145,144,1,99.31%,0.69%,-14400,14400
-23,123,122,1,99.19%,0.81%,-12200,12200
-23.5,111,110,1,99.10%,0.90%,-11000,11000
-24,113,112,1,99.12%,0.88%,-11200,11200
